1800,0.34341405
3600,0.80142595
10800,1.00653225
21600,1.32228475
64800,1.6894087
86400,2.0920975
172800,2.93341945
259200,3.30449505
432000,4.1142038
604800,4.885713267
864000,5.542624883
1209600,6.542012833
2419200,9.75169035
4838400,14.35103145
7257600,18.8199681
9676800,22.56048393
12096000,26.3668606
14515200,29.6068341
16934400,32.4911591
19353600,35.55330835
21772800,36.97552285
24192000,40.47893968
26611200,43.02078835
29030400,45.11478335
31449600,47.55125468
33868800,50.77805602
36288000,53.45162635
