1800,0.5291416
3600,0.7658611
10800,1.19621145
21600,2.135007433
64800,3.331977883
86400,3.950690217
172800,6.480683933
259200,8.483790983
432000,11.6302421
604800,14.86889838
864000,17.44367747
1209600,20.08168295
2419200,29.29655125
4838400,41.566045
7257600,48.42836433
9676800,54.89551867
12096000,59.51856967
14515200,62.79805967
16934400,65.77458983
19353600,69.11335458
21772800,70.03502675
24192000,72.76128575
26611200,73.89371258
29030400,74.68366308
31449600,76.18491058
33868800,77.31733742
36288000,78.46293642
