1800,0.269649917
3600,0.460266833
10800,0.83265965
21600,1.48035075
64800,1.92255605
86400,2.385836817
172800,3.45503725
259200,3.9644206
432000,5.075771967
604800,6.007981867
864000,7.726570117
1209600,9.596638283
2419200,13.74285685
4838400,18.17359422
7257600,22.04714893
9676800,24.83926877
12096000,27.77628243
14515200,30.7923291
16934400,33.26831693
19353600,36.38052042
21772800,38.09252258
24192000,41.63545592
26611200,44.32219842
29030400,46.41619342
31449600,49.61665042
33868800,52.38242592
36288000,55.63557158
