1800,0.709600283
3600,0.992422367
10800,1.234410733
21600,1.6739816
64800,4.369944617
86400,6.234743917
172800,11.36755777
259200,13.54848907
432000,18.34409545
604800,26.29311853
864000,30.92407283
1209600,36.18070505
2419200,50.5208634
4838400,65.30097212
7257600,72.65066162
9676800,76.81268678
12096000,79.94728295
14515200,82.56816462
16934400,83.76645228
19353600,84.99898758
21772800,85.70990508
24192000,86.30227308
26611200,87.42152775
29030400,87.86900192
31449600,88.42185342
33868800,88.84298325
36288000,89.25094092
